PlayerID,Name,Country,Position,Club,Season,Salary
123,Ben Bakker,Germany,Attacking Midfield,SL Benfica,2023,13449874
124,Leo Garcia,Portugal,Right-Back,FC Barcelona,2023,31871456
125,Liam Brown,France,Goalkeeper,Man United,2023,37108670
126,Hugo Williams,Germany,Right-Back,Olympique Marseille,2022,7034162
127,Ben Dubois,Portugal,Left-Back,Paris Saint-Germain,2024,40103125
128,Leo Costa,England,Centre-Forward,Leicester City,2022,6532001
129,Javier Dubois,Spain,Central Midfield,Tottenham Hotspur,2023,15520709
130,Owen Silva,Germany,Centre-Forward,AS Roma,2024,7532066
131,Owen Rossi,Spain,Attacking Midfield,Leicester City,2023,8716094
132,Leo Jones,Spain,Centre-Forward,Everton FC,2022,1516291
133,Liam Jones,Netherlands,Right-Back,Bayer 04 Leverkusen,2024,10105104
134,Javier Schmidt,France,Attacking Midfield,Ajax Amsterdam,2024,15407684
135,Ben Schmidt,Portugal,Defensive Midfield,West Ham United,2023,7262061
136,Mateo Rossi,Brazil,Goalkeeper,Ajax Amsterdam,2024,11870139
137,Enzo Costa,Colombia,Defensive Midfield,Sevilla FC,2022,16039535
138,Owen Costa,France,Left Winger,SL Benfica,2024,11308744
139,Antonio Costa,Germany,Centre-Forward,Paris Saint-Germain,2024,36114986
140,Kai Brown,Germany,Attacking Midfield,Man United,2024,32860252
141,Sven Brown,England,Attacking Midfield,Arsenal FC,2023,22141787
142,Ben Rossi,Netherlands,Left-Back,Real Sociedad,2024,3064266
143,Enzo Schmidt,England,Goalkeeper,Villarreal CF,2022,1018013
144,Antonio Williams,Italy,Goalkeeper,Crystal Palace,2022,2795238
145,Javier Muller,Netherlands,Defensive Midfield,Ajax Amsterdam,2024,7763572
146,Javier Bakker,Portugal,Central Midfield,Juventus FC,2022,20606116
147,Hugo Bakker,Germany,Goalkeeper,Leicester City,2022,7163233
148,Owen Costa,Germany,Left Winger,Aston Villa,2022,3914466
149,Kai Muller,Spain,Defensive Midfield,Olympique Lyon,2023,5737904
150,Diogo Dubois,Spain,Right Winger,Chelsea FC,2024,34614608
151,Florian Brown,Belgium,Left Winger,FC Barcelona,2024,12934926
152,Mateo Schmidt,Germany,Central Midfield,RB Leipzig,2023,16068029
153,Diogo Rossi,Brazil,Central Midfield,Bayern Munich,2023,40801829
154,Enzo Bakker,Germany,Defensive Midfield,Leicester City,2023,975663
155,Diogo Jones,Belgium,Attacking Midfield,Juventus FC,2023,28076157
156,Enzo Costa,England,Central Midfield,Villarreal CF,2022,3789554
157,Sven Williams,Argentina,Right-Back,Crystal Palace,2024,6282628
158,Owen Jones,Argentina,Right-Back,West Ham United,2022,2235797
159,Diogo Brown,France,Left-Back,Olympique Lyon,2023,3893374
160,Antonio Brown,France,Centre-Forward,West Ham United,2024,16430866
161,Liam Fernandez,Brazil,Left Winger,Juventus FC,2022,21299688
162,Hugo Williams,France,Left Winger,Man City,2022,25746153
163,Florian Muller,Wales,Attacking Midfield,Arsenal FC,2022,38915505
164,Mateo Santos,Argentina,Centre-Back,Olympique Lyon,2024,2280341
165,Owen Bakker,France,Central Midfield,West Ham United,2022,8926415
166,Florian Silva,Germany,Right-Back,Real Madrid,2022,38186821
167,Mateo Schmidt,Italy,Right Winger,Inter Milan,2024,36270866
168,Liam Fernandez,Germany,Attacking Midfield,Man United,2024,48366171
169,Leo Silva,Spain,Goalkeeper,Chelsea FC,2024,11478930
170,Javier Garcia,France,Defensive Midfield,Bayer 04 Leverkusen,2023,4669758
171,Owen Silva,Germany,Centre-Back,Olympique Lyon,2024,7070521
172,Antonio Bakker,Germany,Central Midfield,Inter Milan,2023,27952861
173,Diogo Rossi,Argentina,Defensive Midfield,Real Madrid,2022,31456500
174,Ben Williams,Brazil,Right Winger,AC Milan,2024,9692643
175,Enzo Garcia,Germany,Right Winger,SSC Napoli,2022,9904799
176,Florian Brown,France,Central Midfield,Everton FC,2023,1975058
177,Mateo Muller,Brazil,Left Winger,Real Madrid,2023,66228855
178,Liam Jones,Colombia,Right Winger,Bayern Munich,2024,40722219
179,Javier Muller,France,Left Winger,Borussia Dortmund,2022,8824145
180,Javier Fernandez,France,Attacking Midfield,AC Milan,2024,15319902
181,Antonio Brown,Argentina,Centre-Back,Bayer 04 Leverkusen,2022,9812440
182,Florian Fernandez,Spain,Attacking Midfield,SL Benfica,2024,5439549
183,Liam Costa,Germany,Defensive Midfield,Juventus FC,2023,27196343
184,Mateo Fernandez,Brazil,Right-Back,RB Leipzig,2022,11251548
185,Liam Fernandez,Germany,Defensive Midfield,Man City,2022,26028849
186,Javier Dubois,Wales,Goalkeeper,Crystal Palace,2024,5624991
187,Mateo Brown,Spain,Right Winger,Man City,2024,57820415
188,Kai Dubois,France,Attacking Midfield,Paris Saint-Germain,2022,30898171
189,Javier Rossi,Colombia,Left-Back,Man City,2024,22593218
190,Owen Silva,Portugal,Left Winger,Atlético de Madrid,2022,36865838
191,Diogo Jones,Portugal,Central Midfield,Bayern Munich,2022,29323521
192,Leo Costa,Portugal,Central Midfield,Tottenham Hotspur,2022,9478529
193,Ben Rossi,Belgium,Left-Back,Ajax Amsterdam,2022,2702358
194,Leo Jones,Argentina,Right Winger,AS Roma,2023,7237656
195,Hugo Schmidt,Portugal,Defensive Midfield,Borussia Dortmund,2024,5576096
196,Mateo Bakker,France,Centre-Forward,Paris Saint-Germain,2022,47682782
197,Liam Garcia,Brazil,Goalkeeper,FC Barcelona,2023,16287196
198,Javier Garcia,Brazil,Centre-Forward,Bayern Munich,2024,55093784
199,Owen Rossi,Brazil,Centre-Back,AS Roma,2024,12831756
200,Kai Garcia,Netherlands,Left-Back,Everton FC,2024,7552945
201,Leo Williams,Portugal,Goalkeeper,Crystal Palace,2023,4294378
202,Mateo Fernandez,Portugal,Centre-Forward,Atlético de Madrid,2022,18231660
203,Florian Garcia,Germany,Left-Back,Everton FC,2023,6554358
204,Hugo Fernandez,Italy,Right-Back,Liverpool FC,2023,30925626
205,Mateo Jones,France,Right Winger,AS Roma,2024,11468109
206,Owen Costa,Spain,Goalkeeper,Man United,2023,53049299
207,Hugo Williams,Italy,Right-Back,AC Milan,2023,11387778
208,Antonio Garcia,Germany,Left Winger,Everton FC,2022,2810061
209,Sven Santos,Germany,Defensive Midfield,Inter Milan,2023,27136980
210,Arthur Garcia,England,Right Winger,Olympique Lyon,2024,9573468
211,Kai Muller,England,Goalkeeper,West Ham United,2022,5125253
212,Owen Muller,Italy,Centre-Forward,Leicester City,2023,6152997
213,Owen Jones,France,Left-Back,Bayer 04 Leverkusen,2024,5130914
214,Mateo Brown,Italy,Goalkeeper,Chelsea FC,2023,27736327
215,Mateo Fernandez,Brazil,Centre-Forward,Tottenham Hotspur,2022,14657550
216,Enzo Costa,Brazil,Central Midfield,Juventus FC,2023,32187565
217,Enzo Jones,England,Attacking Midfield,Crystal Palace,2023,8813157
218,Ben Garcia,Portugal,Centre-Forward,RB Leipzig,2023,13044191
219,Owen Costa,Spain,Left Winger,West Ham United,2023,8594614
220,Sven Jones,Italy,Defensive Midfield,Man United,2023,19141344
221,Ben Fernandez,Argentina,Defensive Midfield,Olympique Lyon,2023,3978159
222,Hugo Fernandez,France,Right-Back,Bayern Munich,2022,28195304
223,Sven Rossi,England,Right Winger,Ajax Amsterdam,2023,6736944
224,Leo Costa,Portugal,Goalkeeper,Tottenham Hotspur,2023,13940969
225,Arthur Santos,Spain,Left-Back,Crystal Palace,2023,3765065
226,Ben Brown,France,Right Winger,FC Barcelona,2022,17838175
227,Ben Williams,Germany,Centre-Forward,Paris Saint-Germain,2024,57977885
228,Arthur Muller,England,Centre-Back,Aston Villa,2024,3081837
229,Hugo Schmidt,England,Right Winger,AC Milan,2023,13112252
230,Enzo Silva,Germany,Attacking Midfield,Man City,2022,47752662
231,Javier Silva,Netherlands,Attacking Midfield,Real Madrid,2024,19721818
232,Antonio Bakker,England,Defensive Midfield,Atlético de Madrid,2022,19543688
233,Kai Bakker,England,Centre-Back,Ajax Amsterdam,2023,2664453
234,Javier Jones,Argentina,Central Midfield,Leicester City,2023,6786665
235,Liam Bakker,Brazil,Left-Back,Crystal Palace,2023,3544244
236,Kai Bakker,France,Centre-Forward,Arsenal FC,2022,22722283
237,Leo Dubois,Brazil,Central Midfield,Juventus FC,2022,13335947
238,Hugo Rossi,England,Right Winger,Olympique Lyon,2022,8614398
239,Leo Jones,England,Goalkeeper,Aston Villa,2023,5912972
240,Kai Brown,Germany,Goalkeeper,Olympique Marseille,2023,4281573
241,Mateo Rossi,Wales,Right Winger,West Ham United,2023,9509549
242,Diogo Silva,Uruguay,Left-Back,SL Benfica,2022,8450859
243,Diogo Jones,Portugal,Attacking Midfield,FC Porto,2023,2862674
244,Kai Dubois,Germany,Right-Back,Arsenal FC,2024,16025197
245,Arthur Fernandez,England,Defensive Midfield,Aston Villa,2023,6797223
246,Diogo Garcia,Brazil,Defensive Midfield,FC Barcelona,2024,20141287
247,Mateo Fernandez,Spain,Attacking Midfield,Aston Villa,2024,7861580
248,Antonio Fernandez,Germany,Right Winger,Olympique Marseille,2024,3278540
249,Hugo Muller,France,Attacking Midfield,Real Sociedad,2023,7492074
250,Enzo Silva,Portugal,Right-Back,Juventus FC,2024,28073188
251,Owen Silva,Belgium,Centre-Forward,Leicester City,2024,7728198
252,Owen Muller,Netherlands,Right-Back,Sevilla FC,2024,15896866
253,Kai Williams,France,Right-Back,Ajax Amsterdam,2022,11035154
254,Leo Fernandez,England,Centre-Back,Leicester City,2022,7166577
255,Owen Rossi,France,Centre-Back,Sevilla FC,2022,9512442
256,Mateo Fernandez,Brazil,Right-Back,Arsenal FC,2023,23341996
257,Mateo Muller,England,Left-Back,Aston Villa,2024,10234989
258,Arthur Schmidt,Spain,Central Midfield,Crystal Palace,2023,5232143
259,Liam Garcia,France,Centre-Back,AS Roma,2023,10875861
260,Florian Bakker,Argentina,Left-Back,Chelsea FC,2022,13492669
261,Diogo Brown,Spain,Right Winger,FC Barcelona,2022,30213855
262,Diogo Muller,Argentina,Right-Back,FC Porto,2024,2670292
263,Hugo Bakker,Germany,Goalkeeper,Man City,2022,37459800
264,Owen Muller,Nigeria,Right-Back,SL Benfica,2024,11476888
265,Sven Jones,Brazil,Right-Back,Juventus FC,2023,23542823
266,Sven Brown,Germany,Right Winger,Atlético de Madrid,2023,38102918
267,Leo Rossi,Brazil,Centre-Back,Real Madrid,2023,37658039
268,Enzo Fernandez,England,Central Midfield,RB Leipzig,2023,14382331
269,Hugo Santos,England,Left Winger,Chelsea FC,2022,40659191
270,Leo Costa,France,Left-Back,Atlético de Madrid,2023,31297021
271,Javier Schmidt,England,Central Midfield,Tottenham Hotspur,2024,10149020
272,Javier Muller,France,Central Midfield,Leicester City,2023,5869047
273,Sven Bakker,France,Left Winger,Tottenham Hotspur,2023,12015787
274,Arthur Silva,England,Left-Back,FC Barcelona,2024,25683202
275,Kai Dubois,Belgium,Left-Back,FC Barcelona,2024,23662480
276,Florian Brown,Brazil,Central Midfield,AS Roma,2023,2706291
277,Antonio Muller,England,Defensive Midfield,Olympique Marseille,2024,2060937
278,Javier Silva,Spain,Goalkeeper,Everton FC,2022,4159727
279,Hugo Schmidt,Wales,Centre-Forward,Man City,2023,57549445
280,Ben Jones,England,Centre-Back,Olympique Lyon,2024,1809896
281,Kai Muller,Portugal,Centre-Forward,Crystal Palace,2022,8205217
282,Owen Garcia,Senegal,Centre-Forward,Olympique Marseille,2024,8719352
283,Sven Costa,France,Left-Back,Sevilla FC,2024,14801655
284,Liam Garcia,Germany,Left-Back,Olympique Marseille,2022,2685291
285,Sven Brown,Portugal,Defensive Midfield,Man United,2024,37428506
286,Enzo Dubois,England,Right-Back,SSC Napoli,2024,17497908
287,Hugo Fernandez,Netherlands,Centre-Back,Chelsea FC,2023,10966874
288,Enzo Santos,Portugal,Left-Back,Everton FC,2024,5084947
289,Enzo Costa,Italy,Left-Back,Everton FC,2023,2912113
290,Mateo Williams,England,Centre-Forward,Juventus FC,2024,38120532
291,Sven Rossi,Germany,Centre-Forward,Chelsea FC,2022,31842950
292,Liam Muller,England,Centre-Forward,West Ham United,2024,7381068
293,Hugo Williams,France,Attacking Midfield,Man City,2024,54047758
294,Diogo Rossi,England,Right Winger,FC Barcelona,2023,19920698
295,Mateo Schmidt,Netherlands,Centre-Forward,Ajax Amsterdam,2024,12146614
296,Owen Dubois,Brazil,Right Winger,Sevilla FC,2024,20186843
297,Enzo Rossi,Argentina,Right-Back,Bayer 04 Leverkusen,2023,6759467
298,Antonio Bakker,Italy,Centre-Back,Borussia Dortmund,2022,13293940
299,Antonio Costa,Spain,Central Midfield,West Ham United,2022,6980319
300,Diogo Santos,Germany,Centre-Back,SL Benfica,2024,10042255
301,Arthur Costa,Brazil,Centre-Forward,Crystal Palace,2024,2051747
302,Owen Garcia,Brazil,Centre-Forward,Real Sociedad,2022,8282625
303,Mateo Williams,Spain,Attacking Midfield,Liverpool FC,2022,57242722
304,Diogo Costa,Portugal,Attacking Midfield,SSC Napoli,2022,10568232
305,Ben Brown,Netherlands,Defensive Midfield,Aston Villa,2023,7149299
306,Mateo Dubois,Belgium,Attacking Midfield,Bayer 04 Leverkusen,2023,13977825
307,Owen Garcia,Argentina,Central Midfield,Villarreal CF,2022,1575824
308,Antonio Dubois,Italy,Right-Back,Tottenham Hotspur,2024,18556843
309,Kai Costa,Netherlands,Right-Back,Leicester City,2022,7494132
310,Hugo Williams,Brazil,Centre-Forward,Atlético de Madrid,2023,23146902
311,Sven Bakker,Belgium,Attacking Midfield,Olympique Marseille,2024,5616891
312,Mateo Costa,Spain,Right-Back,Aston Villa,2024,7881121
313,Leo Muller,France,Right Winger,RB Leipzig,2023,13468789
314,Ben Dubois,England,Goalkeeper,Borussia Dortmund,2022,6164041
315,Ben Bakker,Netherlands,Right-Back,West Ham United,2022,4704403
316,Enzo Dubois,England,Central Midfield,Bayern Munich,2023,53744229
317,Liam Fernandez,Belgium,Left Winger,FC Porto,2023,3390830
318,Javier Costa,France,Defensive Midfield,Aston Villa,2024,10988477
319,Sven Schmidt,Portugal,Left-Back,Bayer 04 Leverkusen,2024,9349104
320,Florian Jones,Brazil,Right-Back,Olympique Marseille,2023,4378823
321,Diogo Fernandez,England,Central Midfield,Ajax Amsterdam,2023,3345219
322,Enzo Schmidt,Colombia,Left Winger,FC Porto,2024,11883806
323,Arthur Garcia,Argentina,Centre-Back,Ajax Amsterdam,2022,7188981
324,Sven Rossi,England,Goalkeeper,RB Leipzig,2022,9826850
325,Florian Costa,Germany,Centre-Forward,Juventus FC,2022,26322426
326,Florian Bakker,Netherlands,Centre-Forward,Leicester City,2024,1201694
327,Hugo Schmidt,France,Attacking Midfield,SL Benfica,2023,4272688
328,Sven Silva,Brazil,Left-Back,Inter Milan,2022,15026729
329,Hugo Williams,England,Right-Back,FC Porto,2023,5785260
330,Javier Costa,Germany,Attacking Midfield,RB Leipzig,2023,10920162
331,Mateo Williams,England,Central Midfield,Arsenal FC,2024,31289855
332,Javier Bakker,England,Right Winger,Paris Saint-Germain,2023,28333041
333,Sven Dubois,Brazil,Centre-Forward,Crystal Palace,2022,1028138
334,Owen Costa,England,Left Winger,AS Roma,2023,3538111
335,Javier Fernandez,Germany,Defensive Midfield,FC Porto,2022,7278750
336,Mateo Muller,Brazil,Attacking Midfield,Leicester City,2022,10289024
337,Antonio Muller,Argentina,Right Winger,Arsenal FC,2024,30169455
338,Owen Fernandez,Spain,Centre-Forward,Olympique Marseille,2023,6696477
339,Antonio Garcia,Spain,Defensive Midfield,Atlético de Madrid,2022,28693982
340,Mateo Muller,Spain,Left-Back,Everton FC,2024,2631523
341,Florian Dubois,Germany,Right Winger,Chelsea FC,2024,14505469
342,Javier Silva,Spain,Central Midfield,Olympique Lyon,2024,756257
343,Enzo Muller,Germany,Right Winger,Atlético de Madrid,2024,22534815
344,Javier Fernandez,Argentina,Centre-Back,Liverpool FC,2024,21753190
345,Leo Williams,Argentina,Left Winger,Everton FC,2023,2788979
346,Kai Bakker,Germany,Right Winger,West Ham United,2024,3193238
347,Mateo Schmidt,Nigeria,Left-Back,Real Sociedad,2023,647226
348,Owen Williams,Brazil,Centre-Forward,Bayer 04 Leverkusen,2022,7414451
349,Mateo Garcia,Netherlands,Left-Back,Liverpool FC,2022,51097053
350,Liam Brown,England,Left-Back,FC Porto,2024,10028857
351,Sven Costa,Portugal,Left Winger,Real Madrid,2023,27080587
352,Arthur Bakker,Netherlands,Right-Back,Olympique Lyon,2024,4610977
353,Ben Williams,Argentina,Attacking Midfield,SSC Napoli,2022,13264245
354,Arthur Brown,Portugal,Central Midfield,Arsenal FC,2022,17225133
355,Sven Garcia,France,Attacking Midfield,Everton FC,2023,5791840
356,Hugo Jones,Brazil,Goalkeeper,Borussia Dortmund,2023,17631114
357,Kai Muller,Italy,Goalkeeper,Olympique Marseille,2024,7598790
358,Liam Silva,Portugal,Left Winger,Crystal Palace,2024,9004815
359,Antonio Jones,Senegal,Goalkeeper,Paris Saint-Germain,2022,33575892
360,Hugo Bakker,England,Centre-Back,FC Barcelona,2022,17911602
361,Kai Dubois,Brazil,Left Winger,Real Sociedad,2024,3176297
362,Antonio Muller,Germany,Left Winger,Liverpool FC,2022,29255461
363,Ben Brown,France,Defensive Midfield,Juventus FC,2024,22849745
364,Liam Dubois,Croatia,Right Winger,Juventus FC,2024,33362325
365,Arthur Muller,Croatia,Centre-Forward,Juventus FC,2023,24374809
366,Leo Brown,England,Defensive Midfield,Liverpool FC,2023,27742365
367,Mateo Brown,Belgium,Attacking Midfield,Paris Saint-Germain,2024,57098209
368,Hugo Williams,Spain,Goalkeeper,Bayer 04 Leverkusen,2022,11456679
369,Leo Williams,Brazil,Right Winger,Crystal Palace,2024,6611714
370,Kai Costa,Portugal,Defensive Midfield,SL Benfica,2024,2555518
371,Diogo Williams,Netherlands,Goalkeeper,AS Roma,2024,4009254
372,Ben Costa,Argentina,Right-Back,Real Madrid,2024,48483216
373,Kai Dubois,England,Attacking Midfield,Paris Saint-Germain,2024,51763768
374,Florian Garcia,Brazil,Attacking Midfield,Liverpool FC,2024,25346857
375,Owen Garcia,Portugal,Right-Back,Bayern Munich,2022,35121872
376,Diogo Garcia,Wales,Defensive Midfield,Crystal Palace,2022,1499048
377,Arthur Schmidt,Argentina,Attacking Midfield,RB Leipzig,2022,10582380
378,Antonio Williams,Portugal,Central Midfield,Bayer 04 Leverkusen,2024,3641388
379,Javier Costa,Netherlands,Goalkeeper,Borussia Dortmund,2022,17100611
380,Enzo Brown,England,Centre-Back,Olympique Lyon,2023,736316
381,Florian Garcia,Spain,Centre-Forward,Sevilla FC,2022,10451972
382,Leo Garcia,Belgium,Defensive Midfield,FC Barcelona,2023,17782981
383,Enzo Muller,France,Right Winger,Olympique Lyon,2023,5313124
384,Javier Schmidt,Germany,Attacking Midfield,Olympique Marseille,2023,5845289
385,Arthur Muller,Portugal,Left-Back,Real Sociedad,2022,6837573
386,Hugo Muller,England,Centre-Back,Juventus FC,2024,16206529
